Date : 2023-03-24 14:29:21
Directory : /home/lorenzo/LabAP
Total : 59 files,  3033 codes, 201 comments, 726 blanks, all 3960 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         34 |      1,750 |         17 |        316 |      2,083 |
| Python     |          7 |        871 |        161 |        305 |      1,337 |
| SQL        |          1 |         92 |          0 |         14 |        106 |
| Docker     |          8 |         87 |          0 |         37 |        124 |
| JSON       |          2 |         71 |          0 |          2 |         73 |
| YAML       |          1 |         57 |          0 |         10 |         67 |
| CSS        |          2 |         45 |          0 |          8 |         53 |
| Markdown   |          2 |         39 |          0 |         33 |         72 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         59 |      3,033 |        201 |        726 |      3,960 |
| . (Files)                                                                                                      |          2 |         58 |          0 |         10 |         68 |
| backend                                                                                                        |         14 |        948 |        161 |        335 |      1,444 |
| backend/catalogue_ms                                                                                           |          2 |         64 |         13 |         21 |         98 |
| backend/cust_login_ms                                                                                          |          2 |        180 |         34 |         52 |        266 |
| backend/management_ms                                                                                          |          2 |        225 |         51 |         93 |        369 |
| backend/qea_ms                                                                                                 |          2 |        105 |         13 |         40 |        158 |
| backend/request_ms                                                                                             |          2 |         81 |          6 |         39 |        126 |
| backend/review_ms                                                                                              |          2 |        107 |         10 |         40 |        157 |
| backend/worker_login_ms                                                                                        |          2 |        186 |         34 |         50 |        270 |
| db                                                                                                             |          1 |         92 |          0 |         14 |        106 |
| frontend                                                                                                       |         42 |      1,935 |         40 |        367 |      2,342 |
| frontend/frontend-app                                                                                          |         42 |      1,935 |         40 |        367 |      2,342 |
| frontend/frontend-app (Files)                                                                                  |          3 |         94 |          0 |         41 |        135 |
| frontend/frontend-app/public                                                                                   |          2 |         45 |         23 |          2 |         70 |
| frontend/frontend-app/src                                                                                      |         37 |      1,796 |         17 |        324 |      2,137 |
| frontend/frontend-app/src (Files)                                                                              |          8 |        150 |          9 |         37 |        196 |
| frontend/frontend-app/src/Components                                                                           |         29 |      1,646 |          8 |        287 |      1,941 |
| frontend/frontend-app/src/Components (Files)                                                                   |          1 |        103 |          0 |         21 |        124 |
| frontend/frontend-app/src/Components/AdminPanel                                                                |         12 |        536 |          2 |        108 |        646 |
| frontend/frontend-app/src/Components/AdminPanel (Files)                                                        |          2 |        100 |          0 |         15 |        115 |
| frontend/frontend-app/src/Components/AdminPanel/CustomersManagement                                            |          3 |        121 |          1 |         29 |        151 |
| frontend/frontend-app/src/Components/AdminPanel/QeAManagement                                                  |          1 |         42 |          0 |         11 |         53 |
| frontend/frontend-app/src/Components/AdminPanel/RequestsManagement                                             |          2 |         78 |          0 |         15 |         93 |
| frontend/frontend-app/src/Components/AdminPanel/ReviewManagement                                               |          1 |         46 |          1 |         12 |         59 |
| frontend/frontend-app/src/Components/AdminPanel/WorkersManagement                                              |          3 |        149 |          0 |         26 |        175 |
| frontend/frontend-app/src/Components/Catalogue                                                                 |          2 |        115 |          1 |         17 |        133 |
| frontend/frontend-app/src/Components/Home                                                                      |          1 |         33 |          0 |          3 |         36 |
| frontend/frontend-app/src/Components/Login                                                                     |          4 |        328 |          0 |         51 |        379 |
| frontend/frontend-app/src/Components/Login/LoginCustomer                                                       |          2 |        158 |          0 |         25 |        183 |
| frontend/frontend-app/src/Components/Login/LoginWorker                                                         |          2 |        170 |          0 |         26 |        196 |
| frontend/frontend-app/src/Components/Logout                                                                    |          1 |         12 |          2 |          4 |         18 |
| frontend/frontend-app/src/Components/Profile                                                                   |          4 |        107 |          0 |         31 |        138 |
| frontend/frontend-app/src/Components/Profile/CustomerProfile                                                   |          2 |         49 |          0 |         13 |         62 |
| frontend/frontend-app/src/Components/Profile/WorkerProfile                                                     |          2 |         58 |          0 |         18 |         76 |
| frontend/frontend-app/src/Components/QeA                                                                       |          1 |        167 |          0 |         16 |        183 |
| frontend/frontend-app/src/Components/Requests                                                                  |          2 |         97 |          1 |         15 |        113 |
